,QSCORE
DVA-US,9
HSY-US,9
ODP-US,9
LHX-US,9
MUR-US,9
M-US,8
FCX-US,8
IP-US,8
LIN-US,8
NWL-US,8
ORCL-US,8
SHW-US,8
UNP-US,8
WBA-US,8
GWW-US,8
MAT-US,8
SRCL-US,8
WFM-US,8
STJ-US,8
INTU-US,8
NSC-US,8
DGX-US,8
SNA-US,8
SYK-US,8
FLIR-US,8
XRX-US,8
URBN-US,8
ADM-US,8
APD-US,8
BKR-US,8
BAX-US,8
GILD-US,8
LH-US,8
PEP-US,8
ROK-US,8
VTRS-US,8
ZBH-US,8
BCR-US,8
ADP-US,8
EOG-US,8
XOM-US,8
IBM-US,8
PFE-US,8
RL-US,8
SWK-US,8
EQT-US,8
MU-US,8
TAP-US,8
NKE-US,7
PARA-US,7
BDX-US,7
EL-US,7
PG-US,7
VFC-US,7
AAPL-US,7
CAH-US,7
CAG-US,7
DHR-US,7
FDX-US,7
FISV-US,7
HD-US,7
JNJ-US,7
MDLZ-US,7
NEM-US,7
PCAR-US,7
RTX-US,7
SBUX-US,7
TPR-US,7
TXT-US,7
LEG-US,7
AGN-US,7
APC-US,7
AGN-US,7
ITT-US,7
KBH-US,7
CVG-US,7
FDC-US,7
MMM-US,7
BALL-US,7
CL-US,7
COST-US,7
EMN-US,7
EBAY-US,7
ITW-US,7
LMT-US,7
LOW-US,7
MAS-US,7
MDT-US,7
MRK-US,7
NVDA-US,7
PPL-US,7
TXN-US,7
TJX-US,7
WM-US,7
WRK-US,7
YUM-US,7
KSS-US,7
BBBY-US,7
JBL-US,7
SVU-US,7
NYT-US,7
RX-US,7
OMX-US,7
ADBE-US,7
MO-US,7
AEP-US,7
ADI-US,7
AMAT-US,7
BBWI-US,7
CTSH-US,7
CMI-US,7
CVS-US,7
DRI-US,7
GD-US,7
KLAC-US,7
LEN-US,7
LUMN-US,7
PPG-US,7
SPLS-US,7
SWN-US,7
IGT-US,7
CBE-US,7
APH-US,7
CAT-US,7
LLY-US,7
GE-US,7
PKI-US,7
RHI-US,7
TGT-US,7
DD-US,7
RAI-US,7
NBR-US,7
AMGN-US,7
AVY-US,7
BIIB-US,7
HAL-US,7
XTO-US,7
SLB-US,7
MWW-US,7
EA-US,6
INTC-US,6
HRB-US,6
BBY-US,6
CLX-US,6
F-US,6
SPGI-US,6
PTV-US,6
TRB-US,6
ABC-US,6
T-US,6
CSCO-US,6
ETN-US,6
HAS-US,6
MSFT-US,6
NTAP-US,6
PH-US,6
TSN-US,6
WAT-US,6
TSS-US,6
AN-US,6
X-US,6
APOL-US,6
JNY-US,6
T-US,6
QTRN-US,6
ABT-US,6
BSX-US,6
CTRA-US,6
ECL-US,6
KMB-US,6
MSI-US,6
NOC-US,6
NLOK-US,6
NUE-US,6
OKE-US,6
ROP-US,6
SRE-US,6
TT-US,6
UPS-US,6
VZ-US,6
WHR-US,6
GPS-US,6
VAR-US,6
HOG-US,6
JWN-US,6
PDCO-US,6
TGNA-US,6
FDO-US,6
AVP-US,6
SWY-US,6
ANF-US,6
CEPH-US,6
KG-US,6
DJ-US,6
KSE-US,6
APA-US,6
CCL-US,6
KO-US,6
CSX-US,6
XRAY-US,6
DIS-US,6
EMR-US,6
PAYX-US,6
PEG-US,6
QCOM-US,6
VMC-US,6
TIF-US,6
AA-US,6
CAM-US,6
HNZ-US,6
NOVL-US,6
BA-US,6
COP-US,6
MCD-US,6
PXD-US,6
PHM-US,6
LUV-US,6
BJS-US,6
AES-US,6
BF.B-US,6
HON-US,6
JCI-US,6
WY-US,6
NOV-US,6
ATI-US,6
GR-US,6
BMY-US,6
WMB-US,6
CPB-US,5
LLTC-US,5
MCO-US,5
RSG-US,5
SIAL-US,5
LXK-US,5
MXIM-US,5
DE-US,5
EFX-US,5
ES-US,5
J-US,5
MAR-US,5
TMO-US,5
WMT-US,5
WDC-US,5
CTXS-US,5
XLNX-US,5
CA-US,5
R-US,5
BIG-US,5
RRD-US,5
BC-US,5
CHRW-US,5
ED-US,5
DVN-US,5
ETR-US,5
GIS-US,5
GPC-US,5
KR-US,5
MKC-US,5
SYY-US,5
COL-US,5
NCR-US,5
EXPD-US,5
K-US,5
NEE-US,5
VLO-US,5
WEC-US,5
RTN-US,5
PBI-US,5
HOT-US,5
CNX-US,5
PCL-US,5
GHC-US,5
RDC-US,5
GAS-US,5
SGP-US,5
CMCSA-US,5
HPQ-US,5
SEE-US,5
VRSN-US,5
XEL-US,5
SCG-US,5
TWX-US,5
NE-US,5
SLR-US,5
DHI-US,5
HES-US,5
PWR-US,5
ANDV-US,5
AMD-US,5
MOLX-US,4
FLR-US,4
BMC-US,4
AZO-US,4
PCP-US,4
MFE-US,4
EIX-US,4
EXC-US,4
FIS-US,4
IRM-US,4
MCHP-US,4
ORLY-US,4
SJM-US,4
SO-US,4
FLS-US,4
BRK.B-US,4
CTAS-US,4
DTE-US,4
OMC-US,4
PNW-US,4
DO-US,4
BMS-US,4
AEE-US,4
BKNG-US,4
CVX-US,4
DUK-US,4
PCG-US,4
CHK-US,4
POM-US,4
AYE-US,4
GLW-US,4
NBL-US,4
A-US,4
DOV-US,3
HAR-US,3
NI-US,3
ADSK-US,3
EMC-US,3
TE-US,3
TEG-US,3
AKAM-US,3
CMS-US,3
PLL-US,3
CNP-US,3
ISRG-US,3
CELG-US,3
TIE-US,3
TLAB-US,3
CIEN-US,3
BTU-US,2
IFF-US,2
FE-US,2
RHT-US,2
NRG-US,2
BRCM-US,2
WYNN-US,2
TER-US,2
EP-US,2
